질병코드,버전,영문명,한글명
K00.5,7,"Hereditary disturbances in tooth structure, NEC",달리 분류되지 않은 치아구조의 유전성 장애
K00.6,7,Disturbances in tooth eruption,치아맹출의 장애
K00.7,7,Teething syndrome,생치증후군
K00.8,7,Other disorders of tooth development,치아발육의 기타 장애
K00.9,7,"Disorder of tooth development, unspecified",치아발육의 상세불명 장애
K01,7,Embedded and impacted teeth,매몰치 및 매복치
K01.0,7,Embedded teeth,매몰치
K01.1,7,Impacted teeth,매복치
K02,7,Dental caries,치아우식
K02.0,7,Caries limited to enamel,에나멜에 제한된 우식
K02.1,7,Caries of dentin,상아질의 우식
K02.2,7,Caries of cementum,시멘트질의 우식
K02.3,7,Arrested dental caries,정지된 치아우식
K02.4,7,Odontoclasia,파치증
K02.5,7,Caries with pulp exposure,치수노출이 있는 우식
K02.8,7,Other dental caries,기타 치아우식
K02.9,7,"Dental caries, unspecified",상세불명의 치아우식
K03,7,Other diseases of hard tissues of teeth,치아경조직의 기타 질환
K03.0,7,Excessive attrition of teeth,치아의 과다한 생리적 마모
K03.1,7,Abrasion of teeth,치아의 마모
K03.2,7,Erosion of teeth,치아의 침식
K03.3,7,Pathological resorption of teeth,치아의 병적 흡수
K03.4,7,Hypercementosis,과시멘트질증
K03.5,7,Ankylosis of teeth,치아의 강직증
K03.6,7,Deposits[accretions] on teeth,치아의 침착물[증식유착]
K03.7,7,Posteruptive colour changes of dental hard tissues,치아경조직의 맹출후 색조변화
K03.8,7,Other specified diseases of hard tissues of teeth,치아경조직의 기타 명시된 질환
K03.9,7,"Disease of hard tissues of teeth, unspecified",치아경조직의 상세불명 질환
K04,7,Diseases of pulp and periapical tissues,치수 및 근단주위조직의 질환
K04.0,7,Pulpitis,치수염
K04.1,7,Necrosis of pulp,치수의 괴사
K04.2,7,Pulp degeneration,치수변성
K04.3,7,Abnormal hard tissue formation in pulp,치수내의 이상경조직형성
K04.4,7,Acute apical periodontitis of pulpal origin,치수기원의 급성 근단치주염
K04.5,7,Chronic apical periodontitis,만성 근단치주염
K04.6,7,Periapical abscess with sinus,동이 있는 근단주위농양
K04.7,7,Periapical abscess without sinus,동이 없는 근단주위농양
K04.8,7,Radicular cyst,치근낭
K04.9,7,Other and unspecified diseases of pulp and periapical tissues,치수 및 치근단주위조직의 기타 및 상세불명의 질환
K05,7,Gingivitis and periodontal diseases,치은염 및 치주질환
K05.0,7,Acute gingivitis,급성 치은염
K05.1,7,Chronic gingivitis,만성 치은염
K05.2,7,Acute periodontitis,급성 치주염
K05.3,7,Chronic periodontitis,만성 치주염
K05.4,7,Periodontosis,치주증(齒周症)
K05.5,7,Other periodontal diseases,기타 치주질환
K05.6,7,"Periodontal disease, unspecified",상세불명의 치주질환
K06,7,Other disorders of gingiva and edentulous alveolar ridge,잇몸 및 무치성 치조융기의 기타 장애
K06.0,7,Gingival recession,치은퇴축
K06.1,7,Gingival enlargement,치은비대
K06.2,7,Gingival and edentulous alveolar ridge lesions associated with trauma,외상과 연관된 잇몸 및 무치성 치조융기의 병변
K06.8,7,Other specified disorders of gingiva and edentulous alveolar ridge,잇몸 및 무치성 치조융기의 기타 명시된 장애
K06.9,7,"Disorders of gingiva and edentulous alveolar ridge, unspecified",잇몸 및 무치성 치조융기의 상세불명 장애
K07,7,Dentofacial anomalies [including malocclusion],치아얼굴이상[부정교합포함]
K07.0,7,Major anomalies of jaw size,턱크기의 주요 이상
K07.1,7,Anomalies of jaw-cranial base relationship,턱-두개골저의 관계이상
K07.2,7,Anomalies of dental arch relationship,치열궁관계의 이상
K07.3,7,Anomalies of tooth position,치아위치의 이상
K07.4,7,"Malocclusion, unspecified",상세불명의 부정교합
K07.5,7,Dentofacial functional abnormalities,치아얼굴의 기능이상
K07.6,7,Temporomandibular joint disorders,턱관절장애
K07.8,7,Other dentofacial anomalies,기타 치아얼굴이상
K07.9,7,"Dentofacial anomaly, unspecified",상세불명의 치아얼굴이상
K08,7,Other disorders of teeth and supporting  structures,치아 및 지지구조의 기타 장애
K08.0,7,Exfoliation of teeth due to systemic causes,전신적 원인에 의한 치아의 탈락
K08.1,7,"Loss of teeth due to accident, extraction or local periodontal disease","사고, 추출 또는 국한성 치주병에 의한 치아상실"
K08.2,7,Atrophy of edentulous alveolar ridge,무치성 치조융기의 위축
K08.3,7,Retained dental root,잔류치근
K08.8,7,Other specified disorders of teeth and supporting structures,치아 및 지지구조의 기타 명시된 장애
K08.9,7,"Disorder of teeth and supporting structures, unspecified",치아 및 지지구조의 상세불명 장애
K09,7,"Cysts of oral region, NEC",달리 분류되지 않은 구강영역의 낭
K09.0,7,Developmental odontogenic cysts,발달성 치원성 낭
K09.1,7,Developmental (nonodontogenic) cysts of oral region,구강영역의 발달성 (비치원성) 낭
K09.2,7,Other cysts of jaw,턱의 기타 낭
K09.8,7,"Other cysts of oral region, NEC",달리 분류되지 않은 구강영역의 기타 낭
K09.9,7,"Cyst of oral region, unspecified",상세불명의 구강영역의 낭
K10,7,Other diseases of jaws,턱의 기타 질환
K10.0,7,Developmental disorders of jaws,턱의 발달장애
K10.1,7,"Giant cell granuloma, central",중심성 거대세포육아종
K10.2,7,Inflammatory conditions of jaws,턱의 염증성 병태
K10.3,7,Alveolitis of jaws,턱의 치조염
K10.8,7,Other specified diseases of jaws,턱의 기타 명시된 질환
K10.9,7,"Disease of jaws, unspecified",턱의 상세불명 질환
K11,7,Diseases of salivary glands,침샘의 질환
K11.0,7,Atrophy of salivary gland,침샘의 위축
K11.1,7,Hypertrophy of salivary gland,침샘의 비대
K11.2,7,Sialoadenitis,타액선염
K11.3,7,Abscess of salivary gland,침샘의 농양
K11.4,7,Fistula of salivary gland,침샘의 누공
K11.5,7,Sialolithiasis,타석증
K11.6,7,Mucocele of salivary gland,침샘의 점액류
K11.7,7,Disturbances of salivary secretion,침분비의 장애
K11.8,7,Other diseases of salivary glands,침샘의 기타 질환
K11.9,7,"Disease of salivary gland, unspecified",침샘의 상세불명 질환
K12,7,Stomatitis and related lesions,구내염 및 관련 병변
K12.0,7,Recurrent oral aphthae,재발성 구강 아프타
K12.1,7,Other forms of stomatitis,구내염의 기타 형태
K12.2,7,Cellulitis and abscess of mouth,입의 연조직염 및 농양
K12.3,7,Oral mucositis (ulcerative),구강점막염(궤양성)
K13,7,Other diseases of lip and oral mucosa,입술 및 구강점막의 기타 질환
K13.0,7,Diseases of lips,입술의 질환
K13.1,7,Cheek and lip biting,볼 및 입술 씹기
K13.2,7,"Leukoplakia and other disturbances of oral epithelium, including tongue",혀를 포함하는 구강상피의 백반 및 기타 장애
K13.3,7,Hairy leukoplakia(K13.3),유모백반(K13.3)
K13.4,7,Granuloma and granuloma-like lesions of oral mucosa,구강점막의 육아종 및 육아종-유사병변
K13.5,7,Oral submucous fibrosis,구강점막하섬유증
K13.6,7,Irritative hyperplasia of oral mucosa,구강점막의 자극성 증식증
K13.7,7,Other and unspecified lesions of oral mucosa,구강점막의 기타 및 상세불명의 병변
K14,7,Diseases of tongue,혀의 질환
K14.0,7,Glossitis,설염
K14.1,7,Geographic tongue,지도모양혀
K14.2,7,Median rhomboid glossitis,정중능형설염
K14.3,7,Hypertrophy of tongue papillae,혀유두의 비대
K14.4,7,Atrophy of tongue papillae,혀유두의 위축
K14.5,7,Plicated tongue,주름잡힌 혀
K14.6,7,Glossodynia,설통
K14.8,7,Other diseases of tongue,혀의 기타 질환
K14.9,7,"Disease of tongue, unspecified",혀의 상세불명 질환
K20,7,Oesophagitis,식도염
K21,7,Gastro-oesophageal reflux disease,위-식도역류병
K21.0,7,Gastro-oesophageal reflux disease with oesophagitis,식도염을 동반한 위-식도역류병
K21.9,7,Gastro-oesophageal reflux disease without oesophagitis,식도염을 동반하지 않은 위-식도역류병
K22,7,Other diseases of oesophagus,식도의 기타 질환
K22.0,7,Achalasia of cardia,분문의 이완불능증
K22.1,7,Ulcer of oesophagus,식도의 궤양
K22.2,7,Oesophageal obstruction,식도폐색
K22.3,7,Perforation of oesophagus,식도의 천공
K22.4,7,Dyskinesia of oesophagus,식도의 운동장애
K22.5,7,"Diverticulum of oesophagus, acquired",후천성 식도게실
K22.6,7,Gastro-oesophageal laceration-haemorrhage syndrome,위-식도열상-출혈증후군
K22.7,7,Barrett’s oesophagus,바렛식도
K22.8,7,Other specified diseases of oesophagus,식도의 기타 명시된 질환
K22.9,7,"Disease of oesophagus, unspecified",식도의 상세불명 질환
K23,7,Disorders of oesophagus in diseases classified elsewhere,달리 분류된 질환에서의 식도의 장애
K23.0,7,Tuberculous oesophagitis(A18.82†),결핵성 식도염(A18.82†)
K23.1,7,Megaoesophagus in Chagas’ disease(B57.3†),샤가스병에서의 거대식도(B57.3†)
K23.8,7,Disorders of oesophagus in other diseases classified elsewhere,달리 분류된 기타 질환에서의 식도장애
K25,7,Gastric ulcer,위궤양
K25.0,7,Acute gastric ulcer with hemorrhage,출혈이 있는 급성 위궤양
K25.1,7,Acute gastric ulcer with perforation,천공이 있는 급성 위궤양
K25.2,7,Acute gastric ulcer with both hemorrhage and perforation,출혈 및 천공이 모두 있는 급성 위궤양
K25.3,7,Acute gastric ulcer without hemorrhage or perforation,출혈 또는 천공이 없는 급성 위궤양
K25.4,7,Chronic or unspecified gastric ulcer with hemorrhage,출혈이 있는 만성 또는 상세불명 위궤양
K25.5,7,Chronic or unspecified gastric ulcer with perforation,천공이 있는 만성 또는 상세불명 위궤양
K25.6,7,Chronic or unspecified gastric ulcer with both hemorrhage and perforation,출혈 및 천공이 모두 있는 만성 또는 상세불명 위궤양
K25.7,7,Chronic gastic ulcer without hemorrhage or perforation,출혈 또는 천공이없는 만성 위궤양
K25.9,7,Unspecified as acute or chronic gastric ulcer without hemorrhage or perforation,출혈 또는 천공이 없는 급성인지 만성인지 상세불명인 위궤양
K26,7,Duodenal ulcer,십이지장궤양
K26.0,7,Acute duodenal ulcer with hemorrhage,출혈이 있는 급성 십이지장궤양
K26.1,7,Acute duodenal ulcer with perforation,천공이 있는 급성 십이지장궤양
K26.2,7,Acute duodenal ulcer with both hemorrhage and perforation,출혈 및 천공이 모두 있는 급성 십이지장궤양
K26.3,7,Acute duodenal ulcer without hemorrhage or perforation,출혈 또는 천공이 없는 급성 십이지장궤양
K26.4,7,Chronic or unspecified duodenal ulcer with hemorrhage,출혈이 있는 만성 또는 상세불명 십이지장궤양
K26.5,7,Chronic or unspecified duodenal ulcer with perforation,천공이 있는 만성 또는 상세불명 십이지장궤양
K26.6,7,Chronic or unspecified duodenal ulcer with both hemorrhage and perforation,출혈 및 천공이 모두 있는 만성 또는 상세불명 십이지장궤양
K26.7,7,Chronic duodenal ulcer without hemorrhage or perforation,출혈 또는 천공이 없는 만성 십이지장궤양
K26.9,7,Unspecified as acute or chronic duodenal ulcer without hemorrhage or perforation,출혈 또는 천공이 없는 급성인지 만성인지 상세불명인 십이지장궤양
K27,7,"Peptic ulcer, site unspecified",상세불명 부위의 소화성 궤양
K27.0,7,"Acute peptic ulcer, site unspecified with hemorrhage",출혈이 있는 급성 상세불명 부위의 소화성 궤양
K27.1,7,"Acute peptic ulcer, site unspecified with perforation",천공이 있는 급성 상세불명 부위의 소화성 궤양
K27.2,7,"Acute peptic ulcer, site unspecified with both hemorrhage and perforation",출혈 및 천공이 모두 있는 급성 상세불명 부위의 소화성 궤양
K27.3,7,"Acute peptic ulcer, site unspecified without hemorrhage or perforation",출혈 또는 천공이 없는 급성 상세불명 부위의 소화성 궤양
K27.4,7,"Chronic or unspecified peptic ulcer, site unspecified with hemorrhage",출혈이 있는 만성 또는 상세불명 부위의 소화성 궤양
K27.5,7,"Chronic or unspecified peptic ulcer, site unspecified with perforation",천공이 있는 만성 또는 상세불명 부위의 소화성 궤양
K27.6,7,"Chronic or unspecified peptic ulcer, site unspecified with both hemorrhage and perforation",출혈 및 천공이 모두 있는 만성 또는 상세불명 부위의 소화성 궤양
K27.7,7,"Chronic peptic ulcer, site unspecified without hemorrhage or perforation",출혈 또는 천공이 없는 만성 상세불명 부위의 소화성 궤양
K27.9,7,"Unspecified as acute or chronic peptic ulcer, site unspecified without hemorrhage or perforation",출혈 또는 천공이 없는 급성인지 만성인지 상세불명인 상세불명 부위의 소화성 궤양
K28,7,Gastrojejunal ulcer,위공장궤양
K28.0,7,Acute gastrojejunal ulcer with hemorrhage,출혈이 있는 급성 위공장궤양
K28.1,7,Acute gastrojejunal ulcer with perforation,천공이 있는 급성 위공장궤양
K28.2,7,Acute gastrojejunal ulcer with both hemorrhage and perforation,출혈 및 천공이 모두 있는 급성 위공장궤양
K28.3,7,Acute gastrojejunal ulcer without hemorrhage or perforation,출혈 또는 천공이 없는 급성 위공장궤양
K28.4,7,Chronic or unspecified gastrojejunal ulcer with hemorrhage,출혈이 있는 만성 또는 상세불명 위공장궤양
K28.5,7,Chronic or unspecified gastrojejunal ulcer with perforation,천공이 있는 만성 또는 상세불명 위공장궤양
K28.6,7,Chronic or unspecified gastrojejunal ulcer with both hemorrhage and perforation,출혈 및 천공이 모두 있는 만성 또는 상세불명 위공장궤양
K28.7,7,Chronic gastrojejunal ulcer without hemorrhage or perforation,출혈 또는 천공이 없는 만성 위공장궤양
K28.9,7,Unspecified as acute or chronic gastrojejunal ulcer without hemorrhage or perforation,출혈 또는 천공이 없는 급성인지 만성인지 상세불명인 위공장궤양
K29,7,Gastritis and duodenitis,위염 및 십이지장염
K29.0,7,Acute haemorrhagic gastritis,급성 출혈성 위염
K29.1,7,Other acute gastritis,기타 급성 위염
K29.2,7,Alcoholic gastritis,알콜성 위염
K29.3,7,Chronic superficial gastritis,만성 표재성 위염
K29.4,7,Chronic atrophic gastritis,만성 위축성 위염
K29.5,7,"Chronic gastritis, unspecified",상세불명의 만성 위염
K29.6,7,Other gastritis,기타 위염
K29.7,7,"Gastritis, unspecified",상세불명의 위염
K29.8,7,Duodenitis,십이지장염
K29.9,7,"Gastroduodenitis, unspecified",상세불명의 위십이지장염
K30,7,Functional dyspepsia,기능성 소화불량
K31,7,Other diseases of stomach and duodenum,위 및 십이지장의 기타 질환
K31.0,7,Acute dilatation of stomach,위의 급성 확장
K31.1,7,Adult hypertrophic pyloric stenosis,성인 비대성 유문협착
K31.2,7,Hourglass stricture and stenosis of stomach,위의 모래시계협착
K31.3,7,"Pylorospasm, NEC",달리 분류되지 않은 유문연축
K31.4,7,Gastric diverticulum,위게실
K31.5,7,Obstruction of duodenum,십이지장의 폐색
K31.6,7,Fistula of stomach and duodenum,위 및 십이지장의 누공
K31.7,7,Polyp of stomach and duodenum,위 및 십이지장의 폴립
K31.8,7,Other specified diseases of stomach and duodenum,위 및 십이지장의 기타 명시된 질환
K31.9,7,"Disease of stomach and duodenum, unspecified",위 및 십이지장의 상세불명 질환
K35,7,Acute appendicitis,급성 충수염
K35.2,7,Acute appendicitis with generalized peritonitis,범복막염을 동반한 급성 충수염
K35.3,7,Acute appendicitis with localized peritonitis,국소복막염을 동반한 급성 충수염
K35.8,7,"Acute appendicitis, other and unspecified",기타 및 상세불명의 급성 충수염
K36,7,Other appendicitis,기타 충수염
K37,7,Unspecified appendicitis,상세불명의 충수염
K38,7,Other diseases of appendix,충수의 기타 질환
K38.0,7,Hyperplasia of appendix,충수의 증식증
K38.1,7,Appendicular concretion,충수결석
K38.2,7,Diverticulum of appendix,충수의 게실
K38.3,7,Fistula of appendix,충수의 누공
K38.8,7,Other specified diseases of appendix,충수의 기타 명시된 질환
K38.9,7,"Disease of appendix, unspecified",충수의 상세불명 질환
K40,7,Inguinal hernia,사타구니탈장
K40.0,7,"Bilateral inguinal hernia, with obstruction, without gangrene",폐색은 있지만 괴저가 없는 양쪽 사타구니탈장
K40.1,7,"Bilateral inguinal hernia, with gangrene",괴저가 있는 양쪽 사타구니탈장
K40.2,7,"Bilateral inguinal hernia, without obstruction or gangrene",폐색 또는 괴저가 없는 양쪽 사타구니탈장
K40.3,7,"Unilateral or unspecified inguinal hernia, with obstruction, without gangrene",폐색은 있지만 괴저가 없는 한쪽 또는 상세불명의 사타구니탈장
K40.4,7,"Unilateral or unspecified inguinal hernia, with gangrene",괴저가 있는 한쪽 또는 상세불명의 사타구니탈장
K40.9,7,"Unilateral or unspecified inguinal hernia, without obstruction or gangrene",폐색 또는 괴저가 없는 한쪽 또는 상세불명의 사타구니탈장
K41,7,Femoral hernia,대퇴탈장
K41.0,7,"Bilateral femoral hernia, with obstruction, without gangrene",폐색은 있지만 괴저가 없는 양쪽 대퇴탈장
K41.1,7,"Bilateral femoral hernia, with gangrene",괴저가 있는 양쪽 대퇴탈장
K41.2,7,"Bilateral femoral hernia, without obstruction or gangrene",폐색 또는 괴저가 없는 양쪽 대퇴탈장
K41.3,7,"Unilateral or unspecified femoral hernia, with obstruction, without gangrene",폐색은 있지만 괴저가 없는 한쪽 또는 상세불명의 대퇴탈장
K41.4,7,"Unilateral or unspecified femoral hernia, with gangrene",괴저가 있는 한쪽 또는 상세불명의 대퇴탈장
K41.9,7,"Unilateral or unspecified femoral hernia, without obstruction or gangrene",폐색 또는 괴저가 없는 한쪽 또는 상세불명의 대퇴탈장
K42,7,Umbilical hernia,배꼽탈장
K42.0,7,"Umbilical hernia with obstruction, without gangrene",폐색은 있지만 괴저가 없는 배꼽탈장
K42.1,7,Umbilical hernia with gangrene,괴저가 있는 배꼽탈장
K42.9,7,Umbilical hernia without obstruction or gangrene,폐색 또는 괴저가 없는 배꼽탈장
K43,7,Ventral hernia,복벽탈장
K43.0,7,"Incisional hernia with obstruction, without gangrene",폐색은 있지만 괴저가 없는 절개탈장
K43.1,7,Incisionall hernia with gangrene,괴저가 있는 절개탈장
K43.2,7,Incisional hernia without obstruction or gangrene,폐색 또는 괴저가 없는 절개탈장
K43.3,7,"Parastomal hernia with obstruction, without gangrene",폐색은 있지만 괴저가 없는 결장루주위탈장
K43.4,7,Parastomal hernia with gangrene,괴저가 있는 결장루주위탈장
K43.5,7,Parastomal hernia without obstruction or gangrene,폐색 또는 괴저가 없는 결장루주위탈장
K43.6,7,"Other and unspecified ventral hernia with obstruction, without gangrene",폐색은 있지만 괴저가 없는 기타 및 상세불명의 복벽탈장
K43.7,7,Other and unspecified ventral hernia with gangrene,괴저가 있는 기타 및 상세불명의 복벽탈장
K43.9,7,Other and unspecified ventral hernia without obstruction or gangrene,폐색 또는 괴저가 없는 기타 및 상세불명의 복벽탈장
K44,7,Diaphragmatic hernia,횡격막탈장
K44.0,7,"Diaphragmatic hernia with obstruction, without gangrene",폐색은 있지만 괴저가 없는 횡격막탈장
K44.1,7,Diaphragmatic hernia with gangrene,괴저가 있는 횡격막탈장
K44.9,7,Diaphragmatic hernia without obstruction or gangrene,폐색 또는 괴저가 없는 횡격막탈장
K45,7,Other abdominal hernia,기타 복벽탈장
K45.0,7,"Other specified abdominal hernia with obstruction, without gangrene",폐색은 있지만 괴저가 없는 기타 명시된 복벽탈장
K45.1,7,Other specified abdominal hernia with gangrene,괴저가 있는 기타 명시된 복벽탈장
K45.8,7,Other specified abdominal hernia without obstruction or gangrene,폐색 또는 괴저가 없는 기타 명시된 복벽탈장
K46,7,Unspecified abdominal hernia,상세불명의 복벽탈장
K46.0,7,"Unspecified abdominal hernia with obstruction, without gangrene",폐색은 있지만 괴저가 없는 상세불명의 복벽탈장
K46.1,7,Unspecified abdominal hernia with gangrene,괴저가 있는 상세불명의 복벽탈장
K46.9,7,Unspecified abdominal hernia without obstruction or gangrene,폐색 또는 괴저가 없는 상세불명의 복벽탈장
K50,7,Crohn’s disease[regional enteritis],크론병[국소성 장염]
K50.0,7,Crohn’s disease of small intestine,소장의 크론병
K50.1,7,Crohn’s disease of large intestine,대장의 크론병
K50.8,7,Other Crohn’s disease,기타 크론병
K50.9,7,"Crohn’s disease, unspecified",상세불명의 크론병
K51,7,Ulcerative colitis,궤양성 대장염
K51.0,7,Ulcerative (chronic) pancolitis,궤양성 (만성) 범결장염
K51.2,7,Ulcerative (chronic) proctitis,궤양성 (만성) 직장염
K51.3,7,Ulcerative (chronic) rectosigmoiditis,궤양성 (만성) 직장구불결장염
K51.4,7,Inflammatory polyps,염증성 폴립
K51.5,7,Left side colitis,좌측 결장염
K51.8,7,Other ulcerative colitis,기타 궤양성 대장염
K51.9,7,"Ulcerative colitis, unspecified",상세불명의 궤양성 대장염
K52,7,Other noninfective gastroenteritis and colitis,기타 비감염성 위장염 및 결장염
K52.0,7,Gastroenteritis and colitis due to radiation,방사선에 의한 위장염 및 결장염
K52.1,7,Toxic gastroenteritis and colitis,독성 위장염 및 결장염
K52.2,7,Allergic and dietetic gastroenteritis and colitis,앨러지성 또는 식사성의 위장염 및 결장염
K52.3,7,Indeterminate colitis,불확정 결장염
K52.8,7,Other specified noninfective gastroenteritis and colitis,기타 명시된 비감염성 위장염 및 결장염
K52.9,7,"Noninfective gastroenteritis and colitis, unspecified",상세불명의 비감염성 위장염 및 결장염
K55,7,Vascular disorders of intestine,장의 혈관장애
K55.0,7,Acute vascular disorders of intestine,장의 급성 혈관장애
K55.1,7,Chronic vascular disorders of intestine,장의 만성 혈관장애
K55.2,7,Angiodysplasia of colon,결장의 혈관형성이상
K55.8,7,Other vascular disorders of intestine,장의 기타 혈관장애
K55.9,7,"Vascular disorder of intestine, unspecified",장의 상세불명의 혈관장애
K56,7,Paralytic ileus and intestinal obstruction without hernia,탈장이 없는 마비성 장폐색증 및 장폐색
K56.0,7,Paralytic ileus,마비성 장폐색증
K56.1,7,Intussusception,중첩
K56.2,7,Volvulus,장염전
K56.3,7,Gallstone ileus,담석장폐색증
K56.4,7,Other impaction of intestine,장의 기타 감입
K56.5,7,Intestine adhesions [bands] with obstruction,폐색을 동반한 장유착[띠]
K56.6,7,Other and unspecified intestinal obstruction,기타 및 상세불명의 장폐색
K56.7,7,"Ileus, unspecified",상세불명의 장폐색증
K57,7,Diverticular disease of intestine,장의 게실병
K57.0,7,Diverticular disease of small intestine with perforation and abscess,천공 및 농양이 있는 소장의 게실병
K57.1,7,Diverticular disease of small intestine without perforation or abscess,천공 또는 농양이 없는 소장의 게실병
K57.2,7,Diverticular disease of large intestine with perforation and abscess,천공 및 농양이 있는 대장의 게실병
K57.3,7,Diverticular disease of large intestine without perforation or abscess,천공 또는 농양이 없는 대장의 게실병
K57.4,7,Diverticular disease of both samll and large intestine with perforation and abscess,천공 및 농양이 있는 소장과 대장 모두의 게실병
K57.5,7,Diverticular disease of both small and large intestine without perforation or abscess,천공 또는 농양이 없는 소장과 대장 모두의 게실병
K57.8,7,"Diverticular disease of intestine, part unspecified, with perforation and abscess",천공 및 농양이 있는 상세불명 부분의 장의 게실병
K57.9,7,"Diverticular disease of intestine, part unspecified, without perforation or abscess",천공 또는 농양이 없는 상세불명 부분의 장의 게실병
K58,7,Irritable bowel syndrome,과민대장증후군
K58.0,7,Irritable bowel syndrome with diarrhoea,설사를 동반한 과민대장증후군
K58.9,7,Irritable bowel syndrome without diarrhoea,설사를 동반하지 않은 과민대장증후군
K59,7,Other functional intestinal disorders,기타 기능성 장장애
K59.0,7,Constipation,변비
K59.1,7,Functional diarrhoea,기능성 설사
K59.2,7,"Neurogenic bowel, NEC",달리 분류되지 않은 신경성 장
K59.3,7,"Megacolon, NEC",달리 분류되지 않은 거대결장
K59.4,7,Anal spasm,항문연축
K59.8,7,Other specified functional intestinal disorders,기타 명시된 기능성 장장애
K59.9,7,"Functional intestinal disorder, unspecified",상세불명의 기능성 장장애
K60,7,Fissure and fistula of anal and rectal regions,항문 및 직장부의 열창 및 누공
K60.0,7,Acute anal fissure,급성 항문열창
K60.1,7,Chronic anal fissure,만성 항문열창
K60.2,7,"Anal fissure, unspecified",상세불명의 항문열창
K60.3,7,Anal fistula,항문루
K60.4,7,Rectal fistula,직장루
K60.5,7,Anorectal fistula,항문직장루
K61,7,Abscess of anal and rectal regions,항문 및 직장부의 농양
K61.0,7,Anal abscess,항문농양
K61.1,7,Rectal abscess,직장농양
K61.2,7,Anorectal abscess,항문직장농양
K61.3,7,Ischiorectal abscess,좌골직장농양
K61.4,7,Intrasphincteric abscess,괄약근내농양
K62,7,Other diseases of anus and rectum,항문 및 직장의 기타 질환
K62.0,7,Anal polyp,항문폴립
K62.1,7,Rectal polyp,직장폴립
K62.2,7,Anal prolapse,항문탈출
K62.3,7,Rectal prolapse,직장탈출
K62.4,7,Stenosis of anus and rectum,항문 및 직장의 협착
K62.5,7,Haemorrhage of anus and rectum,항문 및 직장의 출혈
K62.6,7,Ulcer of anus and rectum,항문 및 직장의 궤양
K62.7,7,Radiation proctitis,방사선직장염
K62.8,7,Other specified diseases of anus and rectum,항문 및 직장의 기타 명시된 질환
K62.9,7,"Disease of anus and rectum, unspecified",항문 및 직장의 상세불명 질환
K63,7,Other diseases of intestine,장의 기타 질환
K63.0,7,Abscess of intestine,장의 농양
K63.1,7,Perforation of intestine(nontraumatic),장의 천공(비외상성)
K63.2,7,Fistula of intestine,장의 누공
K63.3,7,Ulcer of intestine,장의 궤양
K63.4,7,Enteroptosis,장하수
K63.5,7,Polyp of colon,결장의 폴립
K63.8,7,Other specified diseases of intestine,장의 기타 명시된 질환
K63.9,7,"Disease of intestine, unspecified",장의 상세불명 질환
K64,7,Haemorrhoids and perianal venous thrombosis,치핵 및 항문주위정맥혈전증
K64.0,7,First degree haemorrhoids,1도 치핵
K64.1,7,Second degree haemorrhoids,2도 치핵
K64.2,7,Third degree haemorrhoids,3도 치핵
K64.3,7,Fourth degree haemorrhoids,4도 치핵
K64.4,7,Residual haemorrhoidal skin tags,잔류치핵성 쥐젖
K64.5,7,Perianal venous thrombosis,항문주위정맥혈전증
K64.8,7,Other specified haemorrhoids,기타 명시된 치핵
K64.9,7,"Haemorrhoids, unspecified",상세불명의 치핵
K65,7,Peritonitis,복막염
K65.0,7,Acute peritonitis,급성 복막염
K65.8,7,Other peritonitis,기타 복막염
K65.9,7,"Peritonitis, unspecified",상세불명의 복막염
K66,7,Other disorders of peritoneum,복막의 기타 장애
K66.0,7,Peritoneal adhesions,복막유착
K66.1,7,Haemoperitoneum,혈복강
K66.8,7,Other specified disorders of peritoneum,복막의 기타 명시된 장애
K66.9,7,"Disorder of peritoneum, unspecified\",복막의 상세불명 장애
K67,7,Disorders of peritoneum in infectious diseases classified elsewhere,달리 분류된 감염성 질환에서의 복막의 장애
K67.0,7,Chlamydial peritonitis(A74.8†),클라미디아복막염(A74.8†)
K67.1,7,Gonococcal peritonitis(A54.8†),임균복막염(A54.8†)
K67.2,7,Syphilitic peritonitis(A52.7†),매독복막염(A52.7†)
K67.3,7,Tuberculous peritonitis(A18.30†),결핵성 복막염(A18.30†)
K67.8,7,Other disorders of peritoneum in infectious diseases classified elsewhere,달리 분류된 감염성 질환에서의 기타 복막장애
K70,7,Alcoholic liver disease,알콜성 간질환
K70.0,7,Alcoholic fatty liver,알콜성 지방간
K70.1,7,Alcoholic hepatitis,알콜성 간염
K70.2,7,Alcoholic fibrosis and sclerosis of liver,알콜성 간섬유증 및 간의 경화증
K70.3,7,Alcoholic cirrhosis of liver,알콜성 간경변증
K70.4,7,Alcoholic hepatic failure,알콜성 간부전
K70.9,7,"Alcoholic liver disease, unspecified",상세불명의 알콜성 간질환
K71,7,Toxic liver disease,독성간질환
K71.0,7,Toxic liver disease with cholestasis,담즙정체를 동반한 독성간질환
K71.1,7,Toxic liver disease with hepatic necrosis,간괴사를 동반한 독성간질환
K71.2,7,Toxic liver disease with acute hepatitis,급성 간염을 동반한 독성간질환
K71.3,7,Toxic liver disease with chronic persistent hepatitis,만성 지속성 간염을 동반한 독성간질환
K71.4,7,Toxic liver disease with chronic lobular hepatitis,만성 소엽성 간염을 동반한 독성간질환
K71.5,7,Toxic liver disease with chronic active hepatitis,만성 활동성 간염을 동반한 독성간질환
