성분코드,성분명(한),성분명(영)
M113953,조합향료(프라그란스TJP-H-006903),Flavor Fragrance TJP-H-006903
M113954,베타-시클로덱스트린,Beta-Cyclodextrin
M113955,믹스후르트향(SJ-G),Mix Fruit Flavor SJ-G
M113956,작약 엑스(5.9→1),Peony Root Extract (5.9→1)
M113957,옵타민트(834039),OPTAMINT 834039
M113958,치약향(G-41116),Toothpaste Flavor G-41116
M113959,오렌지향(NV-30313),Orange Flavor NV-30313
M113961,"파상풍톡소이드와접합된헤모필루스인플루엔자비형균다당류(균주명:헤모필루스인플루엔자B형, 1482, No. 2164, 접합단백질용균주명:파상풍균, Havard 49205, No. 1472C)","Haemophilus Influenzae Type B Polysaccharide·Tetanus Toxoid Conjugate (Strain: Haemophilus Influenzae Type B 1482, Strain: Clostridium Tetani Havard 49205)"
M113962,매스틱 엑스,Mastic Extract
M113963,튜티후루티향(501103 A7),Tutti Frutti Flavor 501103 A7
M113964,클래리트로마이신 제피과립,Clarithromycin Coated Granules
M113965,향료(후레이버티피-74),Fragrance Flavor TP-74
M113966,실버폴리에틸렌망,Silver Polyethylene Net
M113967,글리신1.5w/v%,Glycine 1.5w/v%
M113968,레이욘부직포테이프(유백색),Nonwoven Fabric Tape (Rayon) (Milky White)
M113969,레이욘부직포테이프(연갈색),Nonwoven Fabric Tape (Rayon) (Light Brown)
M113970,감국감초건강맥문동반하방풍복령소석고인삼조구등진피 건조엑스(6.27→1),
M113973,약독유행성이하선염생바이러스(균주명: Jeryl Lynn B Level),Live Attenuated Mumps Virus (Strain: Jeryl Lynn B Level)
M113977,오파드라이II분홍색(85F94203),OPADRY II 85F94203 PINK
M113980,아스피린 제피세립,Aspirin Coated Granules
M113981,조합향료(TP-PO-02),Flavor TP-PO-02
M113982,인터페론알파(BALL-1),Interferon Alpha (BALL-1)
M113983,봉합단백중피브리노겐,Fibrinogen (Sealer Protein)
M113984,조이닝피스,Joining Piece
M113985,어플리케이션팁,Application tip
M113986,릴렉스향(B71004),Relax Flavor B 71004
M113988,오파드라이II초록색(85F51659),OPADRY II 85F51659 GREEN
M113989,감초탕 연조엑스(2.99→1),
M113990,아미노알킬메타아크릴레이트공중합체E,Aminoalkylmethacrylate Copolymer E
M113991,생강 엑스,Raw Ginger Extract
M113992,클로버 엑스,Clover Flower Extract
M113993,조합향료(후레이버티피-76),Flavor TP-76
M113994,라우로일사르코신나트륨 액,Sodium Lauroyl Sarcosinate Solution
M113995,조합향료(피톤치드향HP-60596),Flavor Phytoncide HP-60596
M113996,"약독수두생바이러스(균주명: Oka/Merck, 세포주: MRC-5)","Live Attenuated Varicella Virus (Strain: Oka/Merck, Cell Strain: MRC-5 )"
M113997,옥시클로로복합체(퓨라이트)2%,Oxychloro Complex (Purite) 2%
M113998,오파드라이노란색(20A62358),OPADRY 20A62358 YELLOW
M113999,오파드라이분홍색(21K64670),OPADRY 21K64670 PINK
M114000,오파드라이초록색(03Y61358),OPADRY 03Y61358 GREEN
M114001,클로르헥시딘글루콘산염 20%,Chlorhexidine Gluconate 20%
M114005,파인드리핫멜트점착제(10),Pine Tree Hot Melt Ahdesive (10)
M114007,오파드라이투명(YS-1-7006),OPADRY YS-1-7006 CLEAR
M114008,믹스후르트향(HL633873),Mix Fruit Flavor HL 633873
M114009,드링크향(A-75613),Drink Flavor A-75613
M114010,레몬라임향(3009954),Lemon Lime Flavor 3009954
M114011,천연유주유(KS-3245),Natural Yuzu Oil KS-3245
M114012,천연유주향(KS-3446),Natural Yuzu Flavor KS-3446
M114013,망고스틴향(GF-089119),Mangosteen Flavor GF-089119
M114014,피치망고향(3009746),Peach Mango Flavor 3009746
M114015,조합향료(TF-PTC-03A),Flavor TF-PTC-03A
M114017,조합향료(Lemon Myrtle Oil),Flavor Lemon Myrtle Oil
M114019,석유수지·에틸렌비닐아세테이트점착제,Petroleum Resin·Ethylen Vinyl Acetate Adhesive Plaster
M114020,십미패독산 연조엑스(7.88→1),
M114021,배향(HW70148),Pear Flavor HW 70148
M114023,"헤모필루스인플루엔자B형균협막다당류(PRP)·파상풍톡소이드의접합체(균주명:헤모필루스인플루엔자B형, 20752)",Haemophilus Influenzae Type B Capsular Polysaccharide·Tetanus Toxoid Conjugate (Strain: Haemophilus Influenzae Type B 20752)
M114024,서양칠엽수종자 엑스(6→1),Aesculus Hippocastanum L. Seeds Extract (6→1)
M114025,히드로콜로이드점착폴리우레탄필름,Hydrocolloid Adhesive Polyurethane Film
M114027,마황부자세신탕 연조엑스(6.25→1),
M114028,계지가출부탕 연조엑스(4.66→1),
M114029,억간산가진피반하탕 연조엑스(4.99→1),
M114030,페퍼민트향(L090380),Peppermint Flavor L 090380
M114031,에티드론산사나트륨30%,Etidronate Tetrasodium 30%
M114032,레드칼라(M),Red Colorant M
M114033,아니스향(501007B7P0504),Anise Flavour 501007B7P0504
M114034,오파드라이초록색(85F41048),OPADRY 85F41048 GREEN
M114035,부직포(M(샘방지 방수막)),Nonwoven Fabric (M) (Waterproof Membrane)
M114036,폴리에틸렌필름(23),Polyethylene Film (23)
M114037,폴리옥시에틸렌(2)라우릴에테르(BL2),Polyoxyethylene (2) Laurylether (BL2)
M114038,베클로메타손디프로피오네이트무수물,Anhydrous Beclomethasone Dipropionate
M114040,페퍼민트향(B71021),Peppermint Flavor B71021
M114041,오파드라이II흰색(OY-L-28900),OPADRY II OY-L-28900 WHITE
M114042,오파드라이흰색(OY-L-28906),OPADRY OY-L-28906 WHITE
M114043,묽은이소소르비드질산염40%,Dilute Isosorbide Nitrate 40%
M114044,오렌지자몽향분말(C82079),Orange Grapefruit Flavor Powder C82079
M114047,락토페린 농축물,Lactoferrin Concentrate
M114048,혼합과일향(SJ-I),Fruit Mix Flavor SJ-I
M114049,수산화나트륨40w/v%,Sodium Hydroxide 40%w/v
M114052,체리향(53378A),Cherry Flavor 53378A
M114053,비터마스크(SN445959),Bitter Mask (SN445959)
M114054,페퍼민트향(ZKF-084055),Peppermint Flavor ZKF-084055
M114055,민트향(20863),Mint Flavor 20863
M114056,스피아민트향(B70963),Spearmint Flavor B70963
M114057,오렌지민트향(B70890),Orange Mint Flavor B70890
M114058,클로스트리디움보툴리눔독소A형150KDa(균주명: Hall),Clostridium Botulinum Toxin Type A 150KDa (Starin: Hall)
M114059,마행의감탕 연조엑스(7.03→1),
M114060,이진탕 연조엑스(8.44→1),
M114061,고흡수시트A,High Absorbant Sheet A
M114062,트립토렐린아세테이트,Triptorelin Acetate
M114063,후크점착제,Hook Adhesive
M114064,라일락향(10056),Lilac Flavor 10056
M114065,오파드라이오렌지색(85G43128),OPADRY 85G43128 ORANGE
M114066,부직포(폴리프로필렌)(끈용),Nonwoven Fabric (Polypropylene) (String)
M114068,오파드라이II노란색(85G82423),OPADRY II 85G82423 YELLOW
M114069,신이 건조엑스(9.1→1),Magnoliae Flos Dried Extract (9.1→1)
M114070,클로르헥시딘글루콘산염 액20%,Chlorhexidine Gluconate Solution 20%
M114071,파운즈향(CH-8102095),Pounds Flavor CH-8102095
M114072,오파드라이분홍색(85F44111),OPADRY 85F44111 PINK
M114073,파상풍톡소이드(균주명: C.tetani Boston II 60),Tetanus Toxoid (Strain: Boston II 60)
M114075,오파글로스(97W19196),OPAGLOS 97W19196
M114076,오파드라이주황색(03B23378),OPADRY 03B23378 ORANGE
M114079,레티놀팔미테이트 250CWS,Retinol Palmitate 250CWS
M114080,오파드라이갈색(85F46513),OPADRY 85F46513 BROWN
M114082,에키나세아푸르푸레아 틴크,Echinacea Purpurea Tincture
M114083,건조토코페롤아세테이트50% 형,Dried Tocopherol Acetate 50% Type
M114084,박하향(페퍼민트향ST4365/05),Mentha Herb Flavor ST 4365/05
M114085,오령산 엑스산,
M114086,방풍통성산 엑스산,Bangpungtongsungsan Radix Extract Powder
M114087,면혼방폴리프로필렌(청색·흰색),Blended Cotton Polypropylene (Blue·White)
M114088,백차 엑스,White Tea Extract
M114089,반하사심탕 엑스산,Banhasasimtang Extract Powder
M114090,오파드라이II버터스카치(85F27320),OPADRY II 85F27320 BUTERSCOTCH
M114091,유산균발효 액,Lactic Acid Bacteria Fermented Solution
M114092,택사·대황·건강·감초·육계·작약·목단피·시호·저령·반하·승마 연조엑스(5→1),
M114093,시클로덱스트린 시럽,Cyclodextrin Syrup
M114094,시호가용골모려탕거대황 건조엑스((6.3→1),
M114095,형개연교탕 건조엑스(5.6→1),Hyeonggaeyeongyotang Dried Extract (5.6→1)
M114096,계지가출부탕 건조엑스(5.2→1),
M114097,수산화칼슘포스페이트,Calcium Phosphate Hydroxide
M114098,시호청간탕 건조엑스(4.8→1),Sihocheonggantang Dried Extract (4.8→1)
M114099,오약순기산 연조엑스(6.04→1),
M114100,허브향(FAC-9323),Herb Flavor FAC-9323
M114101,오파드라이흰색(OY-S-28849),OPADRY OY-S-28849 WHITE
M114103,도핵승기탕 연조엑스(6.28→1),
M114104,건조실리콘 가루,Dried Silicone Powder
M114105,청폐탕 연조엑스(8.80→1),
M114106,월비가출탕 연조엑스(6.83→1),
M114107,의이인탕 연조엑스(5.88→1),
M114108,감태 엑스,Ecklonia Cava Extract
M114110,오파드라이분홍색(85G44081),OPADRY 85G44081 PINK
M114114,세토스테아릴에틸헥사노에이트,Cetostearyl Ethylhexanoate
M114115,오파드라이II오렌지색(85F63280),OPADRY II 85F63280 ORANGE
M114117,오파드라이연한붉은색(00F44042),OPADRY 00F44042 RED
M114118,오파드라이분홍색(03B64610),OPADRY 03B64610 PINK
M114119,콜레칼시페롤 가루,Cholecalciferol Powder
M114120,복숭아향분말(SH),Peach Flavor Powder SH
M114121,폴리에틸렌글리콜세토스테아릴에테르20,Polyethylene Glycol Cetostearyl Ether 20
M114122,유당수화물·미결정셀룰로오스(75:25)혼합물,Lactose Hydrate·Microcrystalline Cellulose (75:25) Mixture
M114123,"인터페론알파-2A(숙주: 대장균 W3110 trpR-,벡터: pLIF-A-trp55)","Interferon Alpha-2A (Host:E.coli W3110 trpR-, Vector:pLIF-A-trp55)"
M114125,오리지날페퍼민트향(SYS-80708),Original Pepermint Flavor SYS-80708
M114126,조합향료(LMWSG-F1TP*UK),Flavor LMWSG-F1TP*UK
M114128,그레이프후르트과피유,Grapefruit Peel Oil
M114129,건조된흐린노란주황코팅제혼합물,Dry Premix for Salmon-Colour Coating N°4219
M114130,폴록사머237,Poloxamer 237
M114131,"정제불활화인플루엔자바이러스항원A형(A/Brisbane/59/2007, Reassortant virus IVR-148, H1N1)",Purified Inactivated Influenza Virus Antigen A [A/Brisbane/59/2007 Reassortant virus IVR-148(H1N1)]
M114132,허브민트향(HF-60751),Herb Mint Flavor HF-60751
M114133,벤잘코늄염화물50%,Benzalkonium Chloride 50%
M114134,딸기유(#47),Strawberry Oil 47
M114135,방풍통성산 건조엑스에프(4.64→1),Bangpungtongsungsan Radix Dried Extract F (4.64→1)
M114136,"페그인터페론알파-2A(숙주 E.coli W3110trpR, 벡터pLIF-A-trp55)","Peginterferon Alpha-2A (Host: E.coli W3110trpR, Vector: pLIF-A-trp55)"
M114142,부직포(L),Nonwoven Fabric (L)
M114143,오메가3산트리글리세리드,Omega-3-Acid Triglycerides
M114144,N-히드록시에틸에틸렌디아민트리아세테이트삼나트륨 액,N-(Hydroxyethyl) Ethylenediamine Triacetic Acid Trisodium Solution
M114145,점착제가도포된폴리우레탄필름,Polyurethane Film (Adhesive)
M114147,부직포(K),Nonwoven Fabric (K)
M114148,L-히스티딘염산염일수화물,L-Histidine Hydrochloride Monohydrate
M114149,자가유래뼈세포,Autologous Osteocyte
M114150,부직포(폴리프로필렌)(필터용),Nonwoven Fabric (Polypropylene) (Filter)
M114151,"폴리에스테르섬유(겉감,청색)",Fabric (Polyester) (Outer Layer) (Blue)
M114152,파스너테이프(청색),Fastener Tape (Blue)
M114153,"폴리에스테르섬유(겉감,분홍색)",Fabric (Polyester) (Outer Layer) (Pink)
M114154,오파드라이AMB분홍색(80W640002),OPADRY AMB 80W640002 PINK
M114155,하르파고피툼근 엑스,Harpagophytum Root Extract
M114156,소함흉탕 연조엑스(2.5→1),Socheongryongtang Soft Extract (2.5→1)
M114157,향사육군자탕 연조엑스(9.34→1),
M114158,황색산화철10,Hydrated Ferric Oxide 10
M114160,디프테리아톡소이드(균주명:1514-N-3S주),Diphtheria Toxoid (Strain: 1514-N-3S)
M114161,파상풍톡소이드(균주명: 1472-C),Tetanus Toxoid (Strain: 1472-C)
M114162,백일해톡소이드(균주명:1591),B. Pertussis Toxoid (Strain: 1591)
M114163,필라멘트헤마글루티닌(균주명:1591주),Filament Hemagglutinin (Strain: 1591)
M114165,허브 농축액,Herb Concentrate
M114166,고추향(10767),Capsicum Flavor 10767
M114169,시함탕 연조엑스(7.32→1),
M114170,백선피 가루,Dictamnus Root Bark Power
M114172,조합향료(라임D10951),Flavor Lime D10951
M114176,황백 엑스,Phellodendron Bark Extract
M114178,폴리프로필렌·폴리에틸렌필름7,Polypropylene·Polyethylene Film 7
M114179,풀러핫멜트점착제(3),Fuller Hot Melt Adhesive (3)
M114180,레몬향(502904A),Lemon Flavor 502904A
M114181,백당 액,Sucrose Solution
M114182,바나나향(5908-B),Banana Flavor 5908-B
M114183,그레이프후르트 엑스,Grapefruit Extract
M114184,혼합식물엑스(17),Mixed Plants Extract (17)
M114185,조합향료(레몬향-A14637),Flavor Lemon A14637
M114186,조합향료(그린티향A-14630),Flavor Green Tea A-14630
M114187,조합향료(후로랄A-14632),Flavor Floral A-14632
M114191,아크릴산·알킬메타크릴레이트공중합체,Acrylic Acid·Alkylmethacrylate Copolymer
M114192,조합향료(마린민트향HF-6773),Flavor Marine Mint HF-6773
M114194,라우릴황산나트륨 액28%,Sodium Lauryl Sulfate Solution 28%
M114195,조합향료(프라그란스인비고레이트),Flavor Fragrance Invigorate
M114196,페퍼민트향(SJ-A),Peppermint Flavor SJ-A
M114197,폴리-감마-글루탐산,Poly-Gamma-Glutamic Acid
M114198,컴파운드향(S),Compound Flavor S
M114199,레몬향분말(A75722),Lemon Flavor Powder A75722
M114201,조합향료(스킨케어HP306345),Flavor Skin Care HP306345
M114203,폴리에틸렌글리콜세토스테아릴에테르,Polyethylene Glycol Cetostearyl Ether
M114206,삼소음 연조엑스(3→1),Samsoeum Soft Extract (3→1)
M114207,오파드라이II분홍색(85F64637),OPADRY II 85F64637 PINK
M114208,알파-알파-트레할로스이수화물,Alpha-Alpha-Trehalose Dihydrate
M114209,자감초탕 연조엑스(7.86→1),
M114210,시트러스민트향(HF-60847),Citrus Mint Flavor HF-60847
M114211,아크릴점착제가도포된폴리염화비닐필름,Poly Chloride Film (Acrylate Adhesive)
M114216,조합향료(Safra 62228(Lemon)),Flavor Safra Lemon 62228
M114217,조합향료(Safra 62586(Aloe Lilac)),Flavor Safra Aloe Lilac 62586
M114218,로터스코쿤(RS27639),Lotus Cocoon RS27639
M114219,솔잣나무유,Cupressus Sempervirens Oil
M114220,C11-15파레스-12·피이지40·경화피마자유,C11-15 Pareth-12·PEG 40·Hydrogeneted Castor Oil
M114222,조합향료(B71018),Flavor B71018
M114223,오렌지향(B12101),Orange Flavor B12101
M114225,조합향료(핸드워시31-A64554),Flavor Hand Wash 31-A64554
M114226,딸기향(52311A),Strawberry Flavor 52311A
M114227,조합향료(피톤치드향HF-60596),Flavor Phytoncide HF-60596
M114228,체리향(C-29014),Cherry Flavor C-29014
M114229,조합향료(Citrus Y-3505063/03),Flavor Citrus Y-3505063/03
M114230,오파드라이노란색(03F42084),OPADRY 03F42084 YELLOW
M114231,세프라딘수화물·L-아르기닌혼합물(2:1),Cefradine Hydrate·L-Arginine Mixture (2:1)
M114232,"재조합인간상피세포성장인자(숙주: Escherichia Coli JM101, 벡터: pTE105)","Recombinant Human Epidermal Growth Factor (Host: Escherichia Coli JM101, Vector: pTE105)"
M114234,건조레티놀아세테이트 분말,Dried Retinol Acetate Powder
M114236,대장균 strain Nissle 1917균 동결건조물,E.coli strain Nissle 1917 Lyophilizate
M114237,점착제가도포된갈색부직포,Nonwoven Fabric (Adhesive) (Brown)
M114239,클로르헥시딘아세테이트,Chlorhexidine Acetate
M114240,조합향료(컴파운드향SP-25499),Flavor Compound SP-25499
M114241,오파드라이초록색(00C41026),OPADRY 00C41026 GREEN
M114242,산양산삼 엑스,
M114243,뽕잎 엑스,Mulberry Leaf Extract
M114244,선인장 엑스,Cactus Extract
M114246,황련 엑스,Coptis Rhizome Extract
M114247,오파드라이분홍색(85F94152),OPADRY 85F94152 PINK
M114248,체리향분말(C81877),Cherry Flavor Powder C81877
M114249,피톤치드(FKC-5110),Phytoncide FKC-5110
M114250,레몬(74504),Lemon 74504
M114251,조합향료(쌍화차향206263),Flavor Ssanghwa Tea 206263
M114252,조합향료(레몬라임향),Flavor Lemon Lime
M114253,조합향료(오렌지에센스),Flavor Orange Essence
M114254,은행엽 건조엑스(6→1),Ginkgo Leaf Dried Extract (6→1)
M114255,마늘70%에탄올 건조엑스(6.67→1),Allium Sativum 70% Ethanol Dried Extract (6.67→1)
M114256,마늘 건조가루(3→1),Allium Sativum Dried Powder (3→1)
M114257,조합향료(팬시자스민TH-5904190),Flavor Fancy Jasmine TH-5904190
M114258,대장균 strain Nissle 1917의 Biomass,Biomass With Viable Cells of E.coli Strain Nissle 1917
M114259,수산화나트륨 액32%,Sodium Hydroxide Solution 32%
M114260,십전대보탕 건조엑스,Sibjeondaebotang Dried Extract
M114261,더블민트향(B70335),Double Mint Flavor B 70335
M114262,조합향료(Fruity Flavor),Flavor Fruity
M114263,조합향료(Marine Flavor),Flavor Marine Flavor
M114264,상황버섯·동충하초 엑스,Phellinus Linteus·Cordyceps Extract
M114265,조합향료(레몬향WS15900),Flavor Lemon WS15900
M114266,면사(16번수),Cotton String (16)
M114268,풀스로틀에너지샷액크랜베리맛원제제2부,
M114269,풀스로틀에너지샷액트로피칼맛원제제2부,
M114270,비페닐디메틸디카르복실레이트 환,Biphenyl Dimethyl Dicarboxylate Pill
M114272,카르복시메틸셀룰로오스나트륨12,Carboxymethylcellulose Sodium 12
M114273,플라스틱으로피복된철심,Iron Bar Coated Plastic
M114274,조합향료(스킨케어NSR-27127),Flavor Skin Care NSR-27127
M114275,판토프라졸나트륨무수물,Anhydrous Pantoprazole Sodium
M114276,조합향료(자스민94-A37942),Flavor Jasmine 94-A37942
M114277,오렌지에센스(36-GT),Orange Essence 36-GT
M114278,티니벨리센나열매 가루,Tinnevelly Senna Fruit Powder
M114279,조합향료(헤어케어34061),Flavor Hair Care 34061
M114281,폴리스티렌·이소프렌·스티렌블록중합체,Ppolystyrene·Isoprene·Styrene Block Polymer
M114283,오파드라이II주황색(85F23718),OPADRY II 85F23718 ORANGE
M114285,레티놀팔미테이트 과립,Retinol Palmitate Granules
M114288,진주 가루,Margarita Powder
M114289,세인트존스워트80%메탄올 엑스,St. John's Wort 80% Methanol Extract
M114291,한방혼합 엑스액,Herbal Mixture Extract Solution
M114292,딸기향분말(JY080602),Strawberry Flavor Powder JY080602
M114293,"정제불활화인플루엔자바이러스항원A형(A/Indonesia/05/2005, PR8-IBCDC-RG2, H5N1)",Purified Inactivated Influenza Virus Antigen A [A/Indonesia/05/2005/PR8-IBCDC-RG2(H5N1)]
M114294,제이드민트(AR202266·00),Jade Mint (AR202266·00)
M114295,한방컴플렉스,Herbal Complex
M114296,옐로우칼라디비300,
M114297,후루티향,Frutti Flavor
M114301,고리형끈,Ring Type String
M114302,사황산 건조엑스(5→1),Sahwangsan Dried Extract (5→1)
M114303,콜라향(KBR-106088),Cola Flavor KBR-106088
M114304,발효홍삼 엑스,Fermented Red Ginseng Extract
M114305,민트향(B70097),Mint Flavor B70097
M114306,폴리우레탄필름·폴리우레탄폼,Polyurethane Film·Polyurethane Foam
M114307,실리콘 겔,Silicone Gel
M114309,레드색소(K),Red Colorant K
M114310,D-알파-토코페롤,D-Alpha-Tocopherol
M114311,미바셋9-40형,Myvacet 9-40 Type
M114312,오렌지향(75628-33),Orange Flavor 75628-33
M114313,코팅파우더클리어1,Coating Powder CLEAR1
M114315,라벤더 엑스(1),Lavender Extract 1
M114316,오렌지칼라(DB300),Orange Colorant DB 300
M114317,요구르트에센스(49PB),Yogurt Essence 49 PB
M114318,염화나트륨 용액0.234%,Sodium Chloride Solution 0.234%
M114319,"재조합사람에리스로포이에틴(숙주: CHO dhfr-, 벡터:pDCE)","Recombinant Human Erythropoietin (Host: CHO dhfr-, Vector: pDCE)"
M114322,조합향료(LHMZS-F1NR*UK),Flavor LHMZS-F1NR*UK
M114324,오파드라이갈색(15B27323),OPADRY 15B27323 BROWN
M114325,글루티너스전분 시럽,Glutinous Starch Syrup
M114326,자가지방조직유래최소조작지방세포,Autologous Minimal Manipulation Adipose Cell
M114327,조합향료(바디케어74705),Flavor Body Care 74705
M114328,조합향료(장미향HF-5474),Flavor Rose HF-5474
M114329,바닐라향(ST-91120),Vanilla Flavor ST-91120
M114331,소마토렐린아세테이트,Somatorelin Acetate
M114332,오파드라이연황색(YS-1-12871-A),OPADRY YS-1-12871-A LIGHT YELLOW
M114333,스판텍스폴리에스테르끈,Spandex Polyester String
M114335,녹각 엑스(10→1),Cervi Cornu Extract (10→1)
M114336,레드칼라(C-9005),Red Colorant C-9005
M114337,엘로우칼라(C-7296),Yellow Colorant (C-7296)
M114338,그린칼라(C-9032),Green Colorant C-9032
M114339,향(3313),Perfume 3313
M114340,딸기향분말(0976),Strawberry Flavor Powder 0976
M114341,조합향료(TF-HO-01),Flavor TF-HO-01
M114342,조합향료(바나나향SK-50534),Flavor Banana SK-50534
M114343,복합황금 엑스,Mix Scutellaria Root Extract
M114344,페퍼민트향(S-743),Peppermint Flavor S-743
M114345,시클로펜타실록산·디메티콘(85:15),Cyclopentasiloxane·Dimethicone (85:15)
M114346,시클로메티콘·알루미늄·마그네슘히드록시스테아레이트(80:20),Cyclomethicone·Aluminium·Magnesium Hydroxide Stearate (80:20)
M114347,오파드라이흰색(YS-1-18177-A),OPADRY YS-1-18177-A WHITE
M114348,"폴리트로핀알파(재조합인간난포자극호르몬, 숙주:CHO DUKX-B11 Cell Line, 벡터: pCLH3AXSV2DHFR(α-hFSH), pCLH3AXSV2ODC(베타-hFSH)","Follitropin-Alpha (Recombinant, Host: CHO DUKX-B11 Cell Line, Vector: pCLH3AXSV2DHFR(α-hFSH), pCLH3AXSV2ODC(β-hFSH))"
M114349,"루트로핀알파(인황체형성호르몬)(유전자재조합, 숙주 : CHO-K1 cell line, 벡터 : p-CLH3AXSV2DHFR(알파-hLH), p-CLH3AXSV2ODC(베타-hLH))","Lutropin Alpha (Human Luteinizing Hormone, rDNA, Host : CHO-K1 cell line, Vector : p-CLH3AXSV2DHFR (Alpha-hLH), p-CLH3AXSV2ODC (Beta-hLH))"
M114350,오렌지미크론(ZD-0567),Orange Micron ZD-0567
M114352,차전자 가루,Plantago Seed Powder
M114353,포도향(B71254),Grape Flavor B71254
M114355,S-암로디핀니코틴산염,S-Amlodipine Nicotinate
M114356,조합향료(베이비케어A40331),Flavor Baby Care A40331
M114357,조합향료(MX2W),Flavor MX2W
M114358,쏘팔메토 엑스,Saw Palmetto Fruit Extract
M114359,조합향료(MM-LE-01),Flavor MM-LE-01
M114360,폴리트로핀(재조합인간난포자극호르몬),Follitropin Recombinant
M114361,염화나트륨0.9%,Sodium Chloride 0.9%
M114362,가니렐릭스아세테이트,Ganirelix Acetate
M114363,수산화나트륨1M,Sodium Hydroxide 1M
M114364,아세트산5%,Acetic Acid 5%
M114365,오파드라이II초록색(32K11479),OPADRY II 32K11479 GREEN
M114366,오파드라이흰색(YS-1-19025-A),OPADRY YS-1-19025-A WHITE
M114367,오파드라이II노란색(32K42056),OPADRY II 32K42056 YELLOW
M114368,조합향료(알로에향113462),Flavor Aloe 113462
M114369,옵타민트(302187),OPTAMINT 302187
M114370,옵타민트(302181),OPTAMINT 302181
M114371,부직포(M),Nonwoven Fabric (M)
M114372,트로피칼프레쉬니스향(193437),Tropical Freshness Flavor 193437
M114373,피톤치드(SP-35702),Phytoncide SP-35702
M114375,조합향료(프리메라하절용바디향2010),Flavor Primera Summer Season Body 2010
M114376,조합향료(TJP-I-007992),Flavor TJP-I-007992
M114378,오파드라이초록색(03B51430),OPADRY 03B51430 GREEN
M114380,락트산나트륨60%,Sodium Lactate 60%
M114381,조합향료(레몬그라스),Flavor Lemongrass
M114383,위령선·괄루근·하고초30%에탄올 엑스(40:1),Clematidis Radix·Trichosanthis Radix·Prunellae Spica 30% Ethanol Extract (40:1)
M114384,오파드라이노란색(03B62306),OPADRY 03B62306 YELLOW
M114385,오파드라이(85F62421),OPADRY 85F62421
M114386,오파드라이노란색(85F6242),OPADRY 85F6242 YELLOW
M114389,이스프레이(GAIVPB01A),EASPRAY GAIVPB01A
M114390,오파드라이노란색(85F62421),OPADRY 85F62421 YELLOW
M114391,아크릴이즈노란색(93O62693),ACRYL-EZE 93O62693 YELLOW
M114393,조합향료(바디케어35-D15001),Flavor Body Care 35-D15001
M114394,조합향료(크레미아643MOD061),Flavor Cremia 643MOD061
M114396,조합향료(바디클렌저콤파운드셀-27831),Flavor Body Cleanser Compound Cell-27831
M114397,흡수성콜라겐헤모스태트,Absorbable Collagen Hemostat
M114398,방풍통성산 건조엑스(7.6→1),Bangpungtongsungsan Radix Dried Extract (7.6→1)
M114399,어성초·병풀 엑스,Houttuyniae Herba·Centella Asiatica Extract
M114400,사람피브리노겐,Human Fibrinogen
M114401,자일덴트향(SP-8080D),Xyildent Flavor SP-8080D
M114402,동결침전혈장,Plasma Cryoprecipitates
M114405,아크릴레이트·비닐아세테이트점착용액,Acrylate·Vinyl Acetate Adhesive Solution
M114407,오가피 엑스,Acanthopanax Root Bark Extract
M114408,조합향료(바디케어94-F15102),Flavor Body Care 94-F15102
M114409,프로폴리스 엑스·말토덱스트린,Propolis Extract·Maltodextrin
M114410,아크릴이즈분홍색(93044086),ACRYL-EZE 93044086 PINK
M114412,홍삼·당귀·인진호·애엽이함유된흡수시트,Absorbant Sheet Red Ginseng·Angelica Gigas Root·Artemisiae Capillaris Herba·Artemisiae Argyi Folium
M114413,폴리옥시에틸렌소르비탄라우레이트(20.E.O),Polyoxyethylene Sorbitan Monolaurate 20.E.O.
M114414,실리카·카프릴릭·카프릭트리글리세리드·메티콘,Silica·Caprylic·Capric Triglyceride·Methicone
M114415,탄산수소나트륨 주사액,Sodium Bicarbonate Injection
M114418,스테아르산파인 가루,Stearic Acid Fine Powder
M114419,라즈베리 엑스,Raspberry Extract
M114420,아이스피치민트향(B71122),Ice Peach Mint Flavor B71122
M114421,부직포(순면)I,Nonwoven Fabric (Pure Cotton) (I)
M114422,갈근탕 엑스(5.81:1),Galgeuntang Extract (5.81:1)
M114424,조합향료(자스미나 5050),Flavor Jasmina 5050
M114425,딸기향(91010),Strawberry Flavor 91010
M114426,"불활화콜레라균(V. Chlolerae Inaba 48 Classical Biotype, Heat Inactivated)","V. Cholerae Inaba 48 Classical Biotype, Heat Inactivated (V. Cholerae Inaba 48 Classical Biotype, Heat Inactivated)"
M114427,"불활화콜레라균(V. Chlolerae Ogawa 50 Classical Biotype, Heat Inactivated)","V. Cholerae Ogawa 50 Classical Biotype, Heat Inactivated (V. Cholerae Ogawa 50 Classical Biotype, Heat Inactivated)"
M114428,"불활화콜레라균(V. Chlolerae Ogawa 50 Classical bio타입, Formalin Inactivated)","V. Cholerae Ogawa 50 Classical Biotype, Formalin Inactivated (V. Cholerae Ogawa 50 Classical bio타입, Formalin Inactivated)"
